model,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy,cv_precision,cv_recall,cv_f1_score,cv_roc_auc
Logistic Regression,0.91,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.979946524064171,0.9449050632911392,0.9339884075056488,0.9031339031339032,0.916999195485322,0.9911358383056497
Decision Tree Classifier,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,1.0,0.9925925925925926,0.9962264150943396,0.9962962962962962
Random Forest Classifier,0.99,1.0,0.9705882352941176,0.9850746268656716,1.0,0.9824367088607595,0.9857142857142858,0.9623931623931623,0.9733986013986013,0.9984626135569531
Gradient Boosting Classifier,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,1.0,0.9925925925925926,0.9962264150943396,0.9962962962962962
